Country Name,Country Code,Region,Population,CO2/capita,"GDP/capita, PPP"
Afghanistan,AFG,Asia,37769499.0,0.160976451493467,2167.70411054404
Angola,AGO,Africa,32353588.0,0.77920257513549,6881.07624117546
Albania,ALB,Europe,2854191.0,1.69224831964856,14407.3656909018
United Arab Emirates,ARE,Asia,9211657.0,20.5022832059804,74811.6902150565
Argentina,ARG,Americas,44938712.0,3.74065029063396,23003.2771805423
Armenia,ARM,Asia,2820602.0,2.1874763175712,14921.8193191784
Antigua and Barbuda,ATG,Americas,92117.0,5.64499474501464,24007.8684845165
Australia,AUS,Oceania,25340217.0,15.2536183403361,51908.9098730304
Austria,AUT,Europe,8879920.0,7.2939842524557,59756.4472491701
Azerbaijan,AZE,Asia,10024283.0,3.54239782750878,15051.5612816033
Burundi,BDI,Africa,11874838.0,0.0606324085103501,760.453398933166
Belgium,BEL,Europe,11488980.0,8.09558395403513,55753.5507478243
Benin,BEN,Africa,12290444.0,0.593957402249655,3289.65516924035
Burkina Faso,BFA,Africa,20951639.0,0.238644814374665,2199.11662609236
Bangladesh,BGD,Asia,165516222.0,0.548224196802713,5697.9492180924
Bulgaria,BGR,Europe,6975761.0,5.61085727989368,25170.0499268478
Bahrain,BHR,Asia,1494188.0,22.2595806695899,51869.4554543792
"Bahamas, The",BHS,Americas,404557.0,7.02002416017844,36645.8211166295
Bosnia and Herzegovina,BIH,Europe,3360711.0,6.26950657013477,15898.2432895632
Belarus,BLR,Europe,9419758.0,6.12223776544422,20092.8803713875
Belize,BLZ,Americas,389095.0,1.64484248241402,9409.59779932607
Bolivia,BOL,Americas,11777315.0,1.89686699834282,8888.70114945264
Brazil,BRA,Americas,211782878.0,2.05068507848387,15304.9076953685
Barbados,BRB,Americas,280180.0,4.46141766007567,16628.1685712154
Brunei Darussalam,BRN,Asia,438048.0,15.9571548577283,64016.7544304588
Bhutan,BTN,Asia,767459.0,1.36815120067167,12295.1837429135
Botswana,BWA,Africa,2499702.0,2.90034572120997,15756.04377791
Central African Republic,CAF,Africa,5209324.0,0.0460712358524027,898.137302825821
Canada,CAN,Americas,37601230.0,15.4306128276297,49783.4118660894
Switzerland,CHE,Europe,8575280.0,4.35904146198319,73715.8573988006
Chile,CHL,Americas,19039485.0,4.79897448626273,25608.571536298
China,CHN,Asia,1407745000.0,7.60593696057347,16652.0988008463
Cote d'Ivoire,CIV,Africa,26147551.0,0.414187926192633,5343.00160596865
Cameroon,CMR,Africa,25782341.0,0.36575423097444,3915.05150786601
"Congo, Dem. Rep.",COD,Africa,89906890.0,0.035703604452862,1104.62442346377
"Congo, Rep.",COG,Africa,5570733.0,1.30323966861845,3851.01025769294
Colombia,COL,Americas,50187406.0,1.61474774997391,15872.3081601826
Comoros,COM,Africa,790986.0,0.404558352293774,3429.53108336726
Cabo Verde,CPV,Africa,577030.0,1.12645785515162,7123.5505292386
Costa Rica,CRI,Americas,5084532.0,1.62060141840353,22607.4083301518
Cyprus,CYP,Asia,1228836.0,5.85106560779507,44038.8671875
Czechia,CZE,Europe,10671870.0,9.02278615795801,44203.758438649
Germany,DEU,Europe,83092962.0,7.91162101567715,57398.6959051462
Djibouti,DJI,Africa,1073994.0,0.391063625017438,4969.34925955894
Dominica,DMA,Americas,71428.0,2.38001906518647,12918.5641101076
Denmark,DNK,Europe,5814422.0,5.10798850907958,60094.112685792
Dominican Republic,DOM,Americas,10881882.0,2.50232446393338,18937.9631421431
Algeria,DZA,Africa,42705368.0,4.01003452306043,12118.0045004936
Ecuador,ECU,Americas,17343740.0,2.26537072831623,11870.936404006
"Egypt, Arab Rep.",EGY,Africa,105618671.0,2.36104083450537,11652.5738007091
Spain,ESP,Europe,47134837.0,5.09135092007508,43069.1703064029
Estonia,EST,Europe,1326898.0,7.67202927819305,38961.4521802267
Ethiopia,ETH,Africa,114120594.0,0.160882448704671,2273.73489564724
Finland,FIN,Europe,5521606.0,7.37285476082008,51810.0141330761
Fiji,FJI,Oceania,918465.0,1.7747001739115,13800.1998708296
France,FRA,Europe,67388001.0,4.45954746474334,50500.7492479381
"Micronesia, Fed. Sts.",FSM,Oceania,111379.0,1.61610363850059,3690.21968050411
Gabon,GAB,Africa,2242785.0,2.34083962573318,15089.0398500515
United Kingdom,GBR,Europe,66836327.0,5.22051448799294,49661.384589432
Georgia,GEO,Asia,3720161.0,2.71762422558518,15621.8736565619
Ghana,GHA,Africa,31522290.0,0.635740643066456,5571.56486581219
Guinea,GIN,Africa,12877539.0,0.306735630750854,2652.55680042788
"Gambia, The",GMB,Africa,2508883.0,0.231178569630668,2171.23426317803
